Temperature: 16 | Pressure: 39
Temperature: 37 | Pressure: 35
Temperature: 19 | Pressure: 26
Temperature: 22 | Pressure: 25
Temperature: 25 | Pressure: 23
Temperature: 35 | Pressure: 16
Temperature: 36 | Pressure: 24
Temperature: 26 | Pressure: 37
Temperature: 36 | Pressure: 35
Temperature: 34 | Pressure: 30
Temperature: 40 | Pressure: 40
Temperature: 17 | Pressure: 20
Temperature: 37 | Pressure: 36
Temperature: 34 | Pressure: 21
Temperature: 24 | Pressure: 26
Temperature: 35 | Pressure: 30
Temperature: 36 | Pressure: 24
Temperature: 22 | Pressure: 27
Temperature: 38 | Pressure: 31
Temperature: 23 | Pressure: 33
Temperature: 39 | Pressure: 31
Temperature: 36 | Pressure: 24
Temperature: 16 | Pressure: 36
Temperature: 16 | Pressure: 27
Temperature: 18 | Pressure: 24
Temperature: 21 | Pressure: 37
Temperature: 16 | Pressure: 34
Temperature: 23 | Pressure: 37
Temperature: 25 | Pressure: 38
Temperature: 15 | Pressure: 25
Temperature: 20 | Pressure: 36
Temperature: 32 | Pressure: 26
Temperature: 25 | Pressure: 19
Temperature: 26 | Pressure: 17
Temperature: 22 | Pressure: 24
Temperature: 26 | Pressure: 40
Temperature: 34 | Pressure: 37
Temperature: 36 | Pressure: 19
Temperature: 37 | Pressure: 15
Temperature: 31 | Pressure: 22
Temperature: 24 | Pressure: 23
Temperature: 29 | Pressure: 26
Temperature: 29 | Pressure: 36
Temperature: 38 | Pressure: 36
Temperature: 26 | Pressure: 21
Temperature: 24 | Pressure: 27
Temperature: 31 | Pressure: 21
Temperature: 36 | Pressure: 18
Temperature: 28 | Pressure: 35
Temperature: 23 | Pressure: 26
Temperature: 30 | Pressure: 32
Temperature: 33 | Pressure: 27
Temperature: 23 | Pressure: 30
Temperature: 18 | Pressure: 16
Temperature: 33 | Pressure: 30
Temperature: 26 | Pressure: 17
Temperature: 24 | Pressure: 40
Temperature: 18 | Pressure: 19
Temperature: 28 | Pressure: 18
Temperature: 20 | Pressure: 28
Temperature: 37 | Pressure: 40
Temperature: 37 | Pressure: 25
Temperature: 15 | Pressure: 32
Temperature: 37 | Pressure: 32
Temperature: 33 | Pressure: 32
Temperature: 20 | Pressure: 33
Temperature: 16 | Pressure: 33
Temperature: 32 | Pressure: 15
Temperature: 27 | Pressure: 22
Temperature: 28 | Pressure: 30
Temperature: 33 | Pressure: 33
Temperature: 29 | Pressure: 26
Temperature: 25 | Pressure: 22
Temperature: 30 | Pressure: 35
Temperature: 18 | Pressure: 28
Temperature: 25 | Pressure: 35
Temperature: 36 | Pressure: 17
Temperature: 19 | Pressure: 37
Temperature: 21 | Pressure: 26
Temperature: 15 | Pressure: 31
Temperature: 30 | Pressure: 38
Temperature: 15 | Pressure: 30
Temperature: 19 | Pressure: 33
Temperature: 16 | Pressure: 29
Temperature: 26 | Pressure: 27
Temperature: 21 | Pressure: 17
Temperature: 23 | Pressure: 37
Temperature: 31 | Pressure: 19
Temperature: 30 | Pressure: 19
Temperature: 32 | Pressure: 33
Temperature: 36 | Pressure: 34
Temperature: 35 | Pressure: 29
Temperature: 29 | Pressure: 26
Temperature: 22 | Pressure: 28
Temperature: 18 | Pressure: 26
Temperature: 28 | Pressure: 22
Temperature: 24 | Pressure: 36
Temperature: 20 | Pressure: 39
Temperature: 25 | Pressure: 16
Temperature: 34 | Pressure: 26
